state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
INDIA,age_10_13,00,48.0564,46.5915,2.7449,1.0214,1.8308,67.2683,78.0205,30.0558,18.5768,30.0558,18.5768,27.1296,16.5885,72.8704,83.4115,0.0,69.9442,81.4232
INDIA,age_14_17,00,14.6607,12.3328,30.4066,6.4476,17.2513,42.7187,56.1122,47.6199,25.3971,47.6199,25.3971,31.5091,17.4755,68.4909,82.5245,0.0,52.3801,74.6029
INDIA,age_18_21,00,13.357,10.8641,82.6548,41.5763,61.7307,17.2459,30.7135,65.6162,30.4465,65.6162,30.4465,41.1352,20.2711,58.8648,79.7289,0.0,34.3838,69.5535
INDIA,age_below10,00,96.7116,96.6419,0.0,0.0,0.0,51.1227,55.541,48.5053,43.9251,48.5053,43.9251,79.8967,77.5504,20.1033,22.4496,0.0,51.4947,56.0749
Jammu & Kashmir,age_10_13,01,42.5282,44.801,2.1628,1.288,1.7105,75.9998,85.3659,22.5863,12.7894,22.5863,12.7894,22.0109,12.3932,77.9891,87.6068,0.0,77.4137,87.2106
Jammu & Kashmir,age_14_17,01,6.1372,6.5463,12.0988,2.8402,7.3073,54.7707,66.7301,41.5393,22.7601,41.5393,22.7601,22.5717,12.0861,77.4283,87.9139,0.0,58.4607,77.2399
Jammu & Kashmir,age_18_21,01,4.1572,5.1402,60.9801,21.3314,39.7365,25.3536,33.275,68.0243,38.9004,68.0243,38.9004,27.8725,14.8225,72.1275,85.1775,0.0,31.9757,61.0996
Jammu & Kashmir,age_below10,01,95.9787,96.3116,0.0,0.0,0.0,56.3979,62.3185,43.3403,37.3154,43.3403,37.3154,78.311,76.474,21.689,23.526,0.0,56.6597,62.6846
Himachal Pradesh,age_10_13,02,48.5755,47.6198,0.9686,0.5065,0.7338,93.2283,95.7245,5.7037,3.3348,5.7037,3.3348,4.7823,2.5482,95.2177,97.4518,0.0,94.2963,96.6652
Himachal Pradesh,age_14_17,02,7.4697,6.866,13.0177,2.189,7.3785,73.8256,81.5495,19.4048,10.0182,19.4048,10.0182,7.7116,3.4864,92.2884,96.5136,0.0,80.5952,89.9818
Himachal Pradesh,age_18_21,02,6.258,5.9594,73.7808,27.9053,50.5952,36.1877,51.5564,44.8826,22.5267,44.8826,22.5267,13.71,5.6155,86.29,94.3845,0.0,55.1174,77.4733
Himachal Pradesh,age_below10,02,98.7322,98.7418,0.0,0.0,0.0,69.9505,71.9452,29.8533,27.8318,29.8533,27.8318,71.5393,71.0356,28.4607,28.9644,0.0,70.1467,72.1682
Punjab,age_10_13,03,51.0145,53.838,2.1083,1.4186,1.7428,76.0823,79.6064,22.3386,16.3984,22.3386,16.3984,18.5898,15.6144,81.4102,84.3856,0.0,77.6614,83.6016
Punjab,age_14_17,03,8.351,8.704,12.5657,3.5996,7.671,49.0287,53.2098,44.2009,24.3633,44.2009,24.3633,22.2136,19.0744,77.7864,80.9256,0.0,55.7991,75.6367
Punjab,age_18_21,03,5.5966,6.3589,67.8166,31.5319,48.1977,19.497,23.3445,68.3519,29.8825,68.3519,29.8825,29.7361,23.3781,70.2639,76.6219,0.0,31.6481,70.1175
Punjab,age_below10,03,97.6255,97.7102,0.0,0.0,0.0,56.5539,58.9547,43.1372,40.5225,43.1372,40.5225,76.0728,75.2742,23.9272,24.7258,0.0,56.8628,59.4775
Chandigarh,age_10_13,04,46.2633,51.4255,1.2176,0.4817,0.8242,81.8294,85.4305,16.587,12.4763,16.587,12.4763,15.6041,11.2346,84.3959,88.7654,0.0,83.413,87.5237
Chandigarh,age_14_17,04,7.3587,7.6736,16.2417,4.157,9.4346,63.3549,65.0267,30.5955,18.2219,30.5955,18.2219,15.8585,12.1925,84.1415,87.8075,0.0,69.4045,81.7781
Chandigarh,age_18_21,04,4.0626,4.1542,71.8807,38.0989,53.408,32.7934,35.0906,58.3802,23.3163,58.3802,23.3163,21.8843,14.4682,78.1157,85.5318,0.0,41.6198,76.6837
Chandigarh,age_below10,04,97.6479,97.681,0.0,0.0,0.0,63.4866,66.4227,36.1688,33.2066,36.1688,33.2066,76.3125,74.8233,23.6875,25.1767,0.0,63.8312,66.7934
State - UTTARANCHAL  05,age_10_13,05,56.8293,51.4348,1.2628,0.3774,0.8033,84.0628,91.08,14.6294,7.6426,14.6294,7.6426,12.8016,6.5148,87.1984,93.4852,0.0,85.3706,92.3574
State - UTTARANCHAL  05,age_14_17,05,12.5764,8.141,19.6822,2.6375,10.6334,55.1834,72.204,37.2103,18.6972,37.2103,18.6972,19.8159,7.6081,80.1841,92.3919,0.0,62.7897,81.3028
State - UTTARANCHAL  05,age_18_21,05,8.1657,5.7591,81.2247,35.5354,57.949,25.5265,42.9475,55.3302,31.5086,55.3302,31.5086,30.0082,11.5434,69.9918,88.4566,0.0,44.6698,68.4914
State - UTTARANCHAL  05,age_below10,05,97.7429,97.4562,0.0,0.0,0.0,62.7022,65.1133,37.082,34.6464,37.082,34.6464,76.2901,74.8148,23.7099,25.1852,0.0,62.918,65.3536
Haryana,age_10_13,06,58.8702,58.8152,2.423,0.8812,1.6,74.1374,82.7325,24.4757,14.6391,24.4757,14.6391,19.4149,12.6821,80.5851,87.3179,0.0,75.5243,85.3609
Haryana,age_14_17,06,14.6914,12.4266,27.5445,6.4793,15.5793,45.1827,59.5545,48.7085,23.0485,48.7085,23.0485,24.0304,15.0383,75.9696,84.9617,0.0,51.2915,76.9515
Haryana,age_18_21,06,9.7638,8.9051,87.7586,45.5042,64.3914,17.1305,32.9505,71.0365,28.7964,71.0365,28.7964,36.1726,18.9476,63.8274,81.0524,0.0,28.9635,71.2036
Haryana,age_below10,06,98.1082,98.1942,0.0,0.0,0.0,51.1743,55.0443,48.5993,44.5685,48.5993,44.5685,78.4749,76.7094,21.5251,23.2906,0.0,51.4007,55.4315
State - DELHI  07,age_10_13,07,43.8277,45.5671,1.0694,0.3501,0.6896,84.1166,86.6374,15.4148,12.0045,15.4148,12.0045,11.1324,8.4893,88.8676,91.5107,0.0,84.5852,87.9955
State - DELHI  07,age_14_17,07,6.8367,7.1326,14.6625,3.5856,8.5015,59.1805,62.2909,38.7271,25.482,38.7271,25.482,12.1791,9.7758,87.8209,90.2242,0.0,61.2729,74.518
State - DELHI  07,age_18_21,07,4.2466,5.0421,72.2092,34.5612,51.3138,29.2131,33.0097,66.8578,32.7806,66.8578,32.7806,18.3307,11.9581,81.6693,88.0419,0.0,33.1422,67.2194
State - DELHI  07,age_below10,07,97.5057,97.5687,0.0,0.0,0.0,64.5742,66.0062,35.3293,33.7289,35.3293,33.7289,74.6462,73.9743,25.3538,26.0257,0.0,64.6707,66.2711
Rajasthan,age_10_13,08,63.6398,58.0799,6.8933,2.8177,4.6957,55.4994,81.1041,40.7703,15.4903,40.7703,15.4903,36.5899,13.7532,63.4101,86.2468,0.0,59.2297,84.5097
Rajasthan,age_14_17,08,27.436,17.7675,46.1128,15.1929,28.6884,27.1439,55.8344,59.5849,21.8715,59.5849,21.8715,44.8609,14.8837,55.1391,85.1163,0.0,40.4151,78.1285
Rajasthan,age_18_21,08,24.0612,14.7932,93.6551,61.3829,76.7346,11.4152,30.1745,67.2064,23.765,67.2064,23.765,55.1988,17.6076,44.8012,82.3924,0.0,32.7936,76.235
Rajasthan,age_below10,08,96.6144,96.9259,0.0,0.0,0.0,46.4413,57.8531,53.099,41.6555,53.099,41.6555,82.7232,77.808,17.2768,22.192,0.0,46.901,58.3445
Uttar Pradesh,age_10_13,09,56.1494,51.3236,3.814,1.4809,2.5434,62.5198,76.1101,36.5593,21.5362,36.5593,21.5362,34.2845,19.6552,65.7155,80.3448,0.0,63.4407,78.4638
Uttar Pradesh,age_14_17,09,14.981,11.53,34.9262,9.7349,20.3997,36.8313,56.1781,59.8013,29.5079,59.8013,29.5079,45.8239,22.6425,54.1761,77.3575,0.0,40.1987,70.4921
Uttar Pradesh,age_18_21,09,9.9171,8.0212,91.1354,53.7697,71.8001,16.1078,32.9822,77.4022,33.7951,77.4022,33.7951,60.2072,27.448,39.7928,72.552,0.0,22.5978,66.2049
Uttar Pradesh,age_below10,09,96.0197,95.6997,0.0,0.0,0.0,43.6221,49.1808,56.0412,50.2165,56.0412,50.2165,82.6772,79.44,17.3228,20.56,0.0,43.9588,49.7835
Bihar,age_10_13,10,56.6534,53.4546,4.4497,1.3217,2.7206,29.5453,47.685,67.2963,46.6277,67.2963,46.6277,68.1747,48.3336,31.8253,51.6664,0.0,32.7037,53.3723
Bihar,age_14_17,10,18.6814,15.9319,57.5547,14.9212,33.5808,17.9747,35.7327,69.8322,37.1232,69.8322,37.1232,70.8565,46.1401,29.1435,53.8599,0.0,30.1678,62.8768
Bihar,age_18_21,10,14.3206,11.0077,96.0921,67.4186,82.3984,5.4763,21.3897,74.6927,31.0055,74.6927,31.0055,79.8965,46.6679,20.1035,53.3321,0.0,25.3073,68.9945
Bihar,age_below10,10,94.0001,94.063,0.0,0.0,0.0,17.6098,25.7031,81.8581,73.43,81.8581,73.43,93.0344,88.9851,6.9656,11.0149,0.0,18.1419,26.57
Sikkim,age_10_13,11,72.3229,75.429,0.9896,0.4152,0.7018,82.2006,85.4086,13.7864,10.7652,13.7864,10.7652,21.4239,16.8612,78.5761,83.1388,0.0,86.2136,89.2348
Sikkim,age_14_17,11,31.846,37.3473,21.7019,4.9663,13.631,60.7568,60.1326,23.8963,20.339,23.8963,20.339,19.9019,15.549,80.0981,84.451,0.0,76.1037,79.661
Sikkim,age_18_21,11,22.9862,27.9197,63.396,35.6245,49.9283,29.7568,35.6601,45.9227,25.0379,45.9227,25.0379,27.1817,16.8437,72.8183,83.1563,0.0,54.0773,74.9621
Sikkim,age_below10,11,98.4102,96.8563,0.0,0.0,0.0,64.9886,64.1436,34.7254,34.8619,34.7254,34.8619,80.2201,79.8126,19.7799,20.1874,0.0,65.2746,65.1381
Arunachal Pradesh,age_10_13,12,64.135,63.6029,1.0499,0.5051,0.7722,73.3542,81.9018,24.7649,16.2577,24.7649,16.2577,25.7053,16.5644,74.2947,83.4356,0.0,75.2351,83.7423
Arunachal Pradesh,age_14_17,12,30.6748,19.1489,29.9611,5.6022,15.798,51.8018,65.0558,41.8919,22.3048,41.8919,22.3048,26.5766,12.6394,73.4234,87.3606,0.0,58.1081,77.6952
Arunachal Pradesh,age_18_21,12,13.4328,19.3798,85.6481,36.8932,56.9524,26.8041,30.3797,63.9175,24.0506,63.9175,24.0506,30.9278,18.3544,69.0722,81.6456,0.0,36.0825,75.9494
Arunachal Pradesh,age_below10,12,96.4539,99.359,0.0,0.0,0.0,52.1845,56.9161,47.5728,42.1769,47.5728,42.1769,81.3984,80.5243,18.6016,19.4757,0.0,52.4272,57.8231
Manipur,age_10_13,14,32.7538,36.8,1.2488,0.3604,0.796,88.9503,90.0264,10.5762,9.1802,10.5762,9.1802,16.0221,14.9981,83.9779,85.0019,0.0,89.4238,90.8198
Manipur,age_14_17,14,5.9474,7.878,9.0164,1.9785,5.5259,80.409,81.48,15.8282,11.4097,15.8282,11.4097,11.2883,9.2187,88.7117,90.7813,0.0,84.1718,88.5903
Manipur,age_18_21,14,6.8452,7.7369,42.0627,18.763,30.8324,60.9375,66.1135,29.6875,16.3319,29.6875,16.3319,12.5,9.6943,87.5,90.3057,0.0,70.3125,83.6681
Manipur,age_below10,14,92.2794,93.8282,0.0,0.0,0.0,70.9182,72.4179,28.7997,27.2508,28.7997,27.2508,82.117,80.8497,17.883,19.1503,0.0,71.2003,72.7492
Mizoram,age_10_13,15,85.7143,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0
Mizoram,age_14_17,15,0.0,0.0,0.0,0.0,0.0,60.0,85.7143,40.0,0.0,40.0,0.0,20.0,0.0,80.0,100.0,0.0,60.0,100.0
Mizoram,age_18_21,15,0.0,33.3333,83.3333,10.7143,23.5294,100.0,33.3333,0.0,33.3333,0.0,33.3333,0.0,0.0,100.0,100.0,0.0,100.0,66.6667
Mizoram,age_below10,15,100.0,100.0,0.0,0.0,0.0,100.0,66.6667,0.0,33.3333,0.0,33.3333,47.3684,86.6667,52.6316,13.3333,0.0,100.0,66.6667
Tripura,age_10_13,16,58.0756,58.0725,1.0251,0.3874,0.7009,85.6596,88.4212,13.5488,10.5835,13.5488,10.5835,9.5778,6.9226,90.4222,93.0774,0.0,86.4512,89.4165
Tripura,age_14_17,16,20.8391,21.1646,23.9041,1.9174,12.541,65.1907,68.9092,32.2917,21.9848,32.2917,21.9848,10.9471,6.6808,89.0529,93.3192,0.0,67.7083,78.0152
Tripura,age_18_21,16,20.8889,20.243,71.6811,21.3227,46.5095,29.6955,41.8176,65.9606,30.9902,65.9606,30.9902,14.3637,8.713,85.6363,91.287,0.0,34.0394,69.0098
Tripura,age_below10,16,98.7369,98.6058,0.0,0.0,0.0,61.9098,63.5815,37.9305,36.2227,37.9305,36.2227,73.5664,72.9109,26.4336,27.0891,0.0,62.0695,63.7773
Meghalaya,age_10_13,17,57.9096,61.8938,1.6552,0.3922,1.0067,53.8462,62.5585,45.1282,35.1014,45.1282,35.1014,39.4872,32.4493,60.5128,67.5507,0.0,54.8718,64.8986
Meghalaya,age_14_17,17,22.6148,27.3973,21.8254,5.3435,12.5108,49.3363,50.969,48.4513,36.4341,48.4513,36.4341,37.3894,29.2636,62.6106,70.7364,0.0,51.5487,63.5659
Meghalaya,age_18_21,17,17.0732,17.6166,68.4332,27.9503,47.1101,25.5208,34.6008,71.875,32.6996,71.875,32.6996,35.9375,26.616,64.0625,73.384,0.0,28.125,67.3004
Meghalaya,age_below10,17,89.6396,91.4894,0.0,0.0,0.0,40.1062,41.0783,59.6282,58.665,59.6282,58.665,83.4205,83.404,16.5795,16.596,0.0,40.3718,41.335
Assam,age_10_13,18,43.821,43.817,1.3385,0.359,0.8381,72.4615,77.2435,26.5596,20.4623,26.5596,20.4623,20.9867,15.4293,79.0133,84.5707,0.0,73.4404,79.5377
Assam,age_14_17,18,16.57,17.1314,19.3907,2.0172,10.1523,53.6105,55.4746,43.5191,30.187,43.5191,30.187,20.7758,14.7653,79.2242,85.2347,0.0,56.4809,69.813
Assam,age_18_21,18,15.7069,16.6677,65.728,17.1708,40.5112,28.2624,33.9551,66.6599,35.9185,66.6599,35.9185,24.5319,16.0147,75.4681,83.9853,0.0,33.3401,64.0815
Assam,age_below10,18,96.2204,96.3765,0.0,0.0,0.0,55.0655,57.7071,44.6779,41.8589,44.6779,41.8589,77.5921,76.2203,22.4079,23.7797,0.0,55.3221,58.1411
West Bengal,age_10_13,19,62.0815,58.5396,1.522,0.5106,0.9983,69.9029,77.7153,28.3071,19.2911,28.3071,19.2911,23.7836,14.8265,76.2164,85.1735,0.0,71.6929,80.7089
West Bengal,age_14_17,19,27.0093,23.7801,34.3947,3.311,17.5277,42.6735,50.2531,50.7907,30.1276,50.7907,30.1276,29.9259,17.4736,70.0741,82.5264,0.0,49.2093,69.8724
West Bengal,age_18_21,19,27.9086,24.1108,84.9674,34.6476,60.0139,15.882,27.542,75.3552,32.5031,75.3552,32.5031,38.0192,20.1488,61.9808,79.8512,0.0,24.6448,67.4969
West Bengal,age_below10,19,98.1557,97.9543,0.0,0.0,0.0,54.0554,57.2007,45.7512,42.4902,45.7512,42.4902,77.2576,75.5011,22.7424,24.4989,0.0,54.2488,57.5098
Jharkhand,age_10_13,20,53.9475,51.4969,2.6251,0.5765,1.5349,41.0238,59.565,57.2474,37.5307,57.2474,37.5307,55.7363,35.5511,44.2637,64.4489,0.0,42.7526,62.4693
Jharkhand,age_14_17,20,17.9566,14.8509,47.2107,9.9234,26.5183,26.8017,46.1583,66.7911,39.8312,66.7911,39.8312,57.6221,31.6577,42.3779,68.3423,0.0,33.2089,60.1688
Jharkhand,age_18_21,20,14.1149,10.916,91.6532,58.4444,75.2054,9.0901,28.287,79.9339,43.8136,79.9339,43.8136,68.8899,32.0828,31.1101,67.9172,0.0,20.0661,56.1864
Jharkhand,age_below10,20,95.7955,95.6025,0.0,0.0,0.0,27.6371,36.7643,72.0829,62.7842,72.0829,62.7842,89.0428,84.6907,10.9572,15.3093,0.0,27.9171,37.2158
State - ORISSA  21,age_10_13,21,42.8551,39.263,1.0409,0.2944,0.6611,62.2988,76.1768,36.6886,22.2272,36.6886,22.2272,29.2809,15.6166,70.7191,84.3834,0.0,63.3114,77.7728
State - ORISSA  21,age_14_17,21,18.2667,12.7091,16.455,1.9283,9.1519,32.4559,48.9497,62.9212,39.5548,62.9212,39.5548,34.8413,15.8586,65.1587,84.1414,0.0,37.0788,60.4452
State - ORISSA  21,age_18_21,21,19.4953,13.3597,71.2969,23.1268,46.9418,12.5326,24.6636,79.9155,47.8841,79.9155,47.8841,39.1549,16.9276,60.8451,83.0724,0.0,20.0845,52.1159
State - ORISSA  21,age_below10,21,97.1188,96.8975,0.0,0.0,0.0,53.1372,58.6373,46.7194,41.1048,46.7194,41.1048,79.7927,77.2472,20.2073,22.7528,0.0,53.2806,58.8952
Chhattisgarh,age_10_13,22,54.1477,52.6326,1.3301,0.485,0.8947,77.1335,87.3798,21.2342,11.1871,21.2342,11.1871,13.6554,6.1204,86.3446,93.8796,0.0,78.7658,88.8129
Chhattisgarh,age_14_17,22,15.1643,10.8469,25.0082,4.9469,14.1862,43.0936,63.9579,46.2013,23.5203,46.2013,23.5203,19.2675,6.9425,80.7325,93.0575,0.0,53.7987,76.4797
Chhattisgarh,age_18_21,22,15.9369,9.8243,83.2278,47.3576,65.4082,16.0802,38.4772,61.0605,30.1432,61.0605,30.1432,28.6364,8.5162,71.3636,91.4838,0.0,38.9395,69.8568
Chhattisgarh,age_below10,22,98.7029,98.57,0.0,0.0,0.0,58.6008,62.0588,41.1808,37.6976,41.1808,37.6976,77.0973,75.5603,22.9027,24.4397,0.0,58.8192,62.3024
Madhya Pradesh,age_10_13,23,60.1702,55.5837,4.2944,1.417,2.734,72.4422,84.8104,25.4075,12.5216,25.4075,12.5216,20.4413,10.4012,79.5587,89.5988,0.0,74.5925,87.4784
Madhya Pradesh,age_14_17,23,20.6835,14.8403,44.171,11.7952,25.395,40.2396,61.2943,49.0215,20.676,49.0215,20.676,27.6611,12.5068,72.3389,87.4932,0.0,50.9785,79.324
Madhya Pradesh,age_18_21,23,18.1139,12.5977,90.8121,56.4693,72.8663,14.5838,34.1285,65.344,25.3988,65.344,25.3988,42.0038,15.3997,57.9962,84.6003,0.0,34.656,74.6012
Madhya Pradesh,age_below10,23,97.8675,97.9947,0.0,0.0,0.0,51.0322,55.6546,48.7307,44.0295,48.7307,44.0295,79.6659,77.4053,20.3341,22.5947,0.0,51.2693,55.9705
Gujarat,age_10_13,24,39.5428,37.7047,1.2228,0.4245,0.7984,81.876,89.6273,16.9693,8.7831,16.9693,8.7831,10.441,5.3442,89.559,94.6558,0.0,83.0307,91.2169
Gujarat,age_14_17,24,12.3389,8.5238,14.8278,2.8439,8.3914,45.1628,61.8203,46.67,21.2889,46.67,21.2889,13.739,6.3764,86.261,93.6236,0.0,53.33,78.7111
Gujarat,age_18_21,24,11.7837,8.7424,76.5899,35.9846,54.9137,19.1233,29.4864,66.6511,27.8453,66.6511,27.8453,18.5006,7.7869,81.4994,92.2131,0.0,33.3489,72.1547
Gujarat,age_below10,24,98.1884,98.1819,0.0,0.0,0.0,65.2479,67.2868,34.6385,32.5099,34.6385,32.5099,74.2004,73.2822,25.7996,26.7178,0.0,65.3615,67.4901
Daman & Diu,age_10_13,25,28.8288,30.3279,1.4493,0.0,0.6969,92.5764,95.1807,7.4236,3.6145,7.4236,3.6145,3.0568,2.008,96.9432,97.992,0.0,92.5764,96.3855
Daman & Diu,age_14_17,25,2.8571,4.6154,7.4349,1.7422,4.4964,71.0407,80.5,27.1493,9.5,27.1493,9.5,4.9774,2.5,95.0226,97.5,0.0,72.8507,90.5
Daman & Diu,age_18_21,25,4.7059,5.6,67.7686,18.5965,41.1765,28.4211,39.7059,68.4211,15.4412,68.4211,15.4412,10.5263,8.0882,89.4737,91.9118,0.0,31.5789,84.5588
Daman & Diu,age_below10,25,96.9697,100.0,0.0,0.0,0.0,81.6964,78.8104,18.3036,20.0743,18.3036,20.0743,70.8609,73.855,29.1391,26.145,0.0,81.6964,79.9257
Dadra & Nagar Haveli,age_10_13,26,26.3566,24.026,1.2048,0.5,0.8197,92.5373,96.1538,6.7164,3.2051,6.7164,3.2051,3.7313,1.2821,96.2687,98.7179,0.0,93.2836,96.7949
Dadra & Nagar Haveli,age_14_17,26,3.7879,1.2048,22.8261,3.4934,12.1065,67.6056,78.8571,19.0141,10.2857,19.0141,10.2857,7.0423,5.1429,92.9577,94.8571,0.0,80.9859,89.7143
Dadra & Nagar Haveli,age_18_21,26,3.4483,6.4516,79.1837,28.5714,53.1746,21.6216,36.7347,63.5135,17.3469,63.5135,17.3469,21.6216,5.102,78.3784,94.898,0.0,36.4865,82.6531
Dadra & Nagar Haveli,age_below10,26,94.5455,97.0588,0.0,0.0,0.0,67.4312,60.7306,32.5688,39.2694,32.5688,39.2694,75.1693,78.2979,24.8307,21.7021,0.0,67.4312,60.7306
Maharashtra,age_10_13,27,35.358,34.8977,1.0431,0.3275,0.6685,88.522,91.9802,9.7611,6.0934,9.7611,6.0934,6.1833,3.7451,93.8167,96.2549,0.0,90.2389,93.9066
Maharashtra,age_14_17,27,8.1686,7.1351,20.7062,1.7219,10.1307,65.771,72.6211,25.2337,14.0062,25.2337,14.0062,7.8971,4.5186,92.1029,95.4814,0.0,74.7663,85.9938
Maharashtra,age_18_21,27,10.276,7.7938,77.6051,26.8664,50.9769,30.1957,45.49,49.4734,22.6225,49.4734,22.6225,15.1802,5.6405,84.8198,94.3595,0.0,50.5266,77.3775
Maharashtra,age_below10,27,97.4469,97.6272,0.0,0.0,0.0,68.4142,68.7583,31.3656,30.9492,31.3656,30.9492,73.081,72.9858,26.919,27.0142,0.0,68.6344,69.0508
Andhra Pradesh,age_10_13,28,32.3628,28.6241,1.6733,0.3978,1.0076,69.5349,81.7099,19.8931,10.4056,19.8931,10.4056,20.7238,10.7177,79.2762,89.2823,0.0,80.1069,89.5944
Andhra Pradesh,age_14_17,28,13.1315,9.3021,36.6224,3.424,19.0717,39.1177,52.622,33.3049,17.6489,33.3049,17.6489,29.8376,16.8571,70.1624,83.1429,0.0,66.6951,82.3511
Andhra Pradesh,age_18_21,28,13.9957,9.8092,84.2193,43.6427,64.317,15.6081,29.0618,45.7568,22.5235,45.7568,22.5235,42.2732,20.9793,57.7268,79.0207,0.0,54.2432,77.4765
Andhra Pradesh,age_below10,28,95.952,96.0025,0.0,0.0,0.0,70.7437,73.8267,28.3167,25.2798,28.3167,25.2798,71.5427,69.8021,28.4573,30.1979,0.0,71.6833,74.7202
Karnataka,age_10_13,29,40.0851,39.1512,2.0288,0.6251,1.3025,67.5428,78.0872,25.694,14.2986,25.694,14.2986,22.958,13.0484,77.042,86.9516,0.0,74.306,85.7014
Karnataka,age_14_17,29,11.9662,9.9783,24.6115,2.514,12.5705,41.4262,54.0829,39.9717,19.1503,39.9717,19.1503,28.9451,16.5751,71.0549,83.4249,0.0,60.0283,80.8497
Karnataka,age_18_21,29,12.5214,11.259,76.5162,25.4576,50.4939,15.108,27.2376,57.0307,23.1865,57.0307,23.1865,39.758,21.5603,60.242,78.4397,0.0,42.9693,76.8135
Karnataka,age_below10,29,97.655,97.7121,0.0,0.0,0.0,56.7641,59.9449,42.5647,39.0923,42.5647,39.0923,75.6515,74.2423,24.3485,25.7577,0.0,57.4353,60.9077
Goa,age_10_13,30,35.3798,39.0221,0.9274,0.5255,0.7235,88.8781,92.1533,9.6712,6.9343,9.6712,6.9343,7.06,4.8358,92.94,95.1642,0.0,90.3288,93.0657
Goa,age_14_17,30,7.8915,6.028,14.1397,1.5861,7.486,64.2458,74.0513,28.7151,16.7179,28.7151,16.7179,9.3855,4.7179,90.6145,95.2821,0.0,71.2849,83.2821
Goa,age_18_21,30,12.3377,5.1948,47.5294,17.3477,32.3095,24.4898,37.265,60.8534,35.2137,60.8534,35.2137,14.2857,7.8632,85.7143,92.1368,0.0,39.1466,64.7863
Goa,age_below10,30,96.3605,96.8067,0.0,0.0,0.0,74.0236,72.5792,25.8856,27.1493,25.8856,27.1493,72.3261,72.1703,27.6739,27.8297,0.0,74.1144,72.8507
Kerala,age_10_13,32,24.8606,28.9456,0.8332,0.2128,0.5172,97.0307,96.9169,2.7373,2.8248,2.7373,2.8248,1.8091,1.6623,98.1909,98.3377,0.0,97.2627,97.1752
Kerala,age_14_17,32,2.1723,2.6821,10.7943,0.8479,5.873,76.3386,73.8448,20.2306,20.3761,20.2306,20.3761,1.8339,1.479,98.1661,98.521,0.0,79.7694,79.6239
Kerala,age_18_21,32,3.1826,3.2475,52.2463,11.2126,32.7182,32.2696,29.2647,56.5927,45.7864,56.5927,45.7864,2.787,1.8768,97.213,98.1232,0.0,43.4073,54.2136
Kerala,age_below10,32,97.631,97.867,0.0,0.0,0.0,79.6484,78.5759,20.2316,21.2149,20.2316,21.2149,75.4869,76.0615,24.5131,23.9385,0.0,79.7684,78.7851
Tamil Nadu,age_10_13,33,20.3935,21.8284,1.5764,0.6034,1.0802,86.5623,88.8485,10.9291,8.5639,10.9291,8.5639,8.2075,5.188,91.7925,94.812,0.0,89.0709,91.4361
Tamil Nadu,age_14_17,33,6.511,5.9803,17.2131,1.9855,9.4788,56.1167,61.1171,29.2447,21.3034,29.2447,21.3034,12.7992,7.0182,87.2008,92.9818,0.0,70.7553,78.6966
Tamil Nadu,age_18_21,33,7.0526,6.2755,68.9496,23.5802,46.8549,19.3541,27.1108,52.1501,33.0174,52.1501,33.0174,20.4748,9.6379,79.5252,90.3621,0.0,47.8499,66.9826
Tamil Nadu,age_below10,33,93.6169,93.9674,0.0,0.0,0.0,79.6025,80.2218,20.0035,19.3093,20.0035,19.3093,73.0098,72.6844,26.9902,27.3156,0.0,79.9965,80.6907
State - PONDICHERRY  34,age_10_13,34,23.4515,26.4014,0.5735,0.2891,0.4291,93.896,94.3225,5.4162,4.7586,5.4162,4.7586,3.7684,3.8535,96.2316,96.1465,0.0,94.5838,95.2414
State - PONDICHERRY  34,age_14_17,34,2.6851,3.3161,13.4829,0.9778,7.1965,66.473,71.6648,24.4335,17.5741,24.4335,17.5741,4.2417,3.2925,95.7583,96.7075,0.0,75.5665,82.4259
State - PONDICHERRY  34,age_18_21,34,3.0077,3.5488,60.9286,18.9567,40.3386,24.4041,35.9218,53.5751,29.8468,53.5751,29.8468,9.5596,3.9884,90.4404,96.0116,0.0,46.4249,70.1532
State - PONDICHERRY  34,age_below10,34,97.4183,97.9108,0.0,0.0,0.0,83.6436,84.3362,16.1584,15.5582,16.1584,15.5582,75.4463,74.9137,24.5537,25.0863,0.0,83.8416,84.4418
