Dataset,Year,Cluster,N_states,States,Mean_CMPR_SC_female,Literacy (SC F),Literacy (SC M),Below primary (SC F),CL attending (SC F),CL dropout (SC M),Illiteracy (SC F),Mean_CMPR_SC_male,Dropout (SC M),Non-worker dropout (SC F),Mean_CMPR_ST_female,Below primary (ST F),CL attending (ST F),Literacy (ST F),Dropout (ST M),Dropout (ST F),CL attending (ST M),CL dropout (ST M),Non-worker dropout (ST F),Mean_CMPR_ST_male,CL dropout (ST F),Mean_CMPR_hindu_female,Literacy (Hindu F),Middle school (Hindu F),Illiteracy (Hindu F),Mean_CMPR_muslim_female,Below primary (Muslim F),Literacy (Muslim F),Illiteracy (Muslim F),Mean_CMPR_christian_female,Below primary (Christian F),Literacy (Christian F),Middle school (Christian F),Literacy (Christian M),Illiteracy (Christian F),Illiteracy (Christian M),Mean_CMPR_total_female,Literacy (Total F),Illiteracy (Total F)
SC_female,2001,1,7,"Bihar, Jharkhand, Meghalaya, Rajasthan, State - ORISSA  21, Uttar Pradesh, West Bengal",36.93,54.097,74.583,20.992,33.317,33.493,45.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_female,2001,2,9,"Dadra & Nagar Haveli, Daman & Diu, Goa, Himachal Pradesh, Kerala, Maharashtra, Manipur, Mizoram, State - PONDICHERRY  34",12.38,91.736,96.183,4.553,69.523,12.21,8.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_female,2001,3,16,"Andhra Pradesh, Arunachal Pradesh, Assam, Chandigarh, Chhattisgarh, Gujarat, Haryana, Jammu & Kashmir, Karnataka, Madhya Pradesh, Punjab, Sikkim, State - DELHI  07, State - UTTARANCHAL  05, Tamil Nadu, Tripura",22.51,79.555,88.02,14.73,51.451,21.936,20.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_female,2011,1,4,"Bihar, Jharkhand, Meghalaya, Rajasthan",29.32,76.374,84.266,13.087,3.559,18.95,23.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_female,2011,2,12,"Dadra & Nagar Haveli, Daman & Diu, Goa, Jammu & Kashmir, Kerala, Maharashtra, Manipur, NCT of Delhi, Puducherry, Tamil Nadu, Tripura, Uttarakhand",14.44,95.94,96.94,3.344,2.165,9.612,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_female,2011,3,15,"Andhra Pradesh, Assam, Chandigarh, Chhattisgarh, Gujarat, Haryana, Himachal Pradesh, Karnataka, Madhya Pradesh, Mizoram, Odisha, Punjab, Sikkim, Uttar Pradesh, West Bengal",18.5,91.421,93.074,7.16,4.977,17.972,8.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2001,1,8,"Assam, Bihar, Jharkhand, Meghalaya, Rajasthan, State - ORISSA  21, Uttar Pradesh, West Bengal",,57.238,,20.439,35.853,33.08,42.762,7.8,33.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2001,2,9,"Andhra Pradesh, Arunachal Pradesh, Chhattisgarh, Gujarat, Haryana, Karnataka, Madhya Pradesh, Sikkim, Tripura",,77.677,,19.037,47.997,21.107,22.323,4.94,21.107,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2001,3,15,"Chandigarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Himachal Pradesh, Jammu & Kashmir, Kerala, Maharashtra, Manipur, Mizoram, Punjab, State - DELHI  07, State - PONDICHERRY  34, State - UTTARANCHAL  05, Tamil Nadu",,88.012,,5.917,64.223,16.048,11.988,2.22,16.048,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2011,1,16,"Andhra Pradesh, Assam, Bihar, Chandigarh, Chhattisgarh, Gujarat, Haryana, Jharkhand, Karnataka, Madhya Pradesh, Meghalaya, Odisha, Punjab, Rajasthan, Uttar Pradesh, West Bengal",,86.563,,8.265,2.962,18.815,13.437,4.57,31.763,23.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2011,2,12,"Dadra & Nagar Haveli, Daman & Diu, Goa, Jammu & Kashmir, Kerala, Maharashtra, Manipur, NCT of Delhi, Puducherry, Tamil Nadu, Tripura, Uttarakhand",,95.94,,3.344,2.165,9.612,4.06,2.85,17.54,13.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_male,2011,3,3,"Himachal Pradesh, Mizoram, Sikkim",,97.271,,9.173,13.836,14.776,2.729,4.85,20.266,7.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_female,2001,1,8,"Arunachal Pradesh, Himachal Pradesh, Lakshadweep, Manipur, Mizoram, Nagaland, Sikkim, State - UTTARANCHAL  05",,,,,,,,,,,11.69,13.03,68.1,83.023,13.057,21.696,76.062,13.057,0.0,,,,,,,,,,,,,,,,,,,,
ST_female,2001,2,8,"Bihar, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Rajasthan, State - ORISSA  21, Uttar Pradesh, West Bengal",,,,,,,,,,,30.01,22.521,25.752,42.128,33.453,60.036,45.118,33.453,0.0,,,,,,,,,,,,,,,,,,,,
ST_female,2001,3,14,"Andaman & Nicobar Islands, Andhra Pradesh, Assam, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Maharashtra, Meghalaya, Tamil Nadu, Tripura",,,,,,,,,,,21.23,17.363,43.251,68.528,23.015,37.147,53.602,23.015,0.0,,,,,,,,,,,,,,,,,,,,
ST_female,2011,1,17,"Andhra Pradesh, Bihar, Chhattisgarh, Dadra & Nagar Haveli, Gujarat, Jammu & Kashmir, Jharkhand, Karnataka, Madhya Pradesh, Maharashtra, Meghalaya, Odisha, Rajasthan, Tamil Nadu, Tripura, Uttar Pradesh, West Bengal",,,,,,,,,,,22.84,10.534,4.614,79.897,34.682,40.558,5.537,23.121,18.6,,,,,,,,,,,,,,,,,,,,
ST_female,2011,2,3,"Himachal Pradesh, Nagaland, Sikkim",,,,,,,,,,,10.71,6.954,16.346,93.767,18.643,19.069,16.734,13.024,7.184,,,,,,,,,,,,,,,,,,,,
ST_female,2011,3,10,"Andaman & Nicobar Islands, Arunachal Pradesh, Assam, Daman & Diu, Goa, Kerala, Lakshadweep, Manipur, Mizoram, Uttarakhand",,,,,,,,,,,11.44,4.549,5.131,93.509,18.182,19.058,5.509,9.829,10.839,,,,,,,,,,,,,,,,,,,,
ST_male,2001,1,13,"Andaman & Nicobar Islands, Arunachal Pradesh, Assam, Daman & Diu, Himachal Pradesh, Kerala, Lakshadweep, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, State - UTTARANCHAL  05",,,,,,,,,,,,13.996,,83.02,,24.932,,,,2.33,24.932,,,,,,,,,,,,,,,,,,
ST_male,2001,2,9,"Andhra Pradesh, Chhattisgarh, Dadra & Nagar Haveli, Goa, Gujarat, Karnataka, Maharashtra, Tamil Nadu, Tripura",,,,,,,,,,,,18.374,,60.481,,41.057,,,,4.8,41.057,,,,,,,,,,,,,,,,,,
ST_male,2001,3,8,"Bihar, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Rajasthan, State - ORISSA  21, Uttar Pradesh, West Bengal",,,,,,,,,,,,22.521,,42.128,,60.036,,,,8.22,60.036,,,,,,,,,,,,,,,,,,
ST_male,2011,1,14,"Andaman & Nicobar Islands, Arunachal Pradesh, Assam, Daman & Diu, Goa, Himachal Pradesh, Kerala, Lakshadweep, Manipur, Mizoram, Nagaland, Sikkim, Tripura, Uttarakhand",,,,,,,,,,,,5.548,,93.368,,19.665,,,,3.06,9.239,,,,,,,,,,,,,,,,,,
ST_male,2011,2,4,"Dadra & Nagar Haveli, Maharashtra, Meghalaya, West Bengal",,,,,,,,,,,,15.721,,85.348,,35.559,,,,5.28,19.275,,,,,,,,,,,,,,,,,,
ST_male,2011,3,12,"Andhra Pradesh, Bihar, Chhattisgarh, Gujarat, Jammu & Kashmir, Jharkhand, Karnataka, Madhya Pradesh, Odisha, Rajasthan, Tamil Nadu, Uttar Pradesh",,,,,,,,,,,,8.739,,77.175,,43.311,,,,5.9,23.723,,,,,,,,,,,,,,,,,,
Hindu_female,2001,1,10,"Andhra Pradesh, Arunachal Pradesh, Bihar, Chhattisgarh, Dadra & Nagar Haveli, Jharkhand, Madhya Pradesh, Rajasthan, Sikkim, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,27.32,67.294,31.207,32.706,,,,,,,,,,,,,,
Hindu_female,2001,2,12,"Andaman & Nicobar Islands, Chandigarh, Daman & Diu, Goa, Himachal Pradesh, Kerala, Lakshadweep, Maharashtra, Manipur, State - DELHI  07, State - PONDICHERRY  34, State - UTTARANCHAL  05",,,,,,,,,,,,,,,,,,,,,,11.11,93.029,43.59,6.971,,,,,,,,,,,,,,
Hindu_female,2001,3,13,"Assam, Gujarat, Haryana, Jammu & Kashmir, Karnataka, Meghalaya, Mizoram, Nagaland, Punjab, State - ORISSA  21, Tamil Nadu, Tripura, West Bengal",,,,,,,,,,,,,,,,,,,,,,17.82,82.183,37.623,17.817,,,,,,,,,,,,,,
Hindu_female,2011,1,18,"Andaman & Nicobar Islands, Assam, Daman & Diu, Goa, Himachal Pradesh, Jammu & Kashmir, Karnataka, Kerala, Lakshadweep, Maharashtra, Manipur, Mizoram, NCT of Delhi, Puducherry, Tamil Nadu, Tripura, Uttarakhand, West Bengal",,,,,,,,,,,,,,,,,,,,,,14.42,95.618,44.681,4.382,,,,,,,,,,,,,,
Hindu_female,2011,2,3,"Arunachal Pradesh, Bihar, Rajasthan",,,,,,,,,,,,,,,,,,,,,,22.9,81.44,35.708,18.56,,,,,,,,,,,,,,
Hindu_female,2011,3,14,"Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Gujarat, Haryana, Jharkhand, Madhya Pradesh, Meghalaya, Nagaland, Odisha, Punjab, Sikkim, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,19.93,89.896,39.882,10.104,,,,,,,,,,,,,,
Muslim_female,2001,1,14,"Arunachal Pradesh, Assam, Bihar, Haryana, Jharkhand, Meghalaya, Mizoram, Nagaland, Rajasthan, Sikkim, State - UTTARANCHAL  05, Tripura, Uttar Pradesh, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,24.79,22.327,57.68,42.32,,,,,,,,,,
Muslim_female,2001,2,4,"Himachal Pradesh, Jammu & Kashmir, Manipur, Punjab",,,,,,,,,,,,,,,,,,,,,,,,,,15.28,8.081,66.093,33.907,,,,,,,,,,
Muslim_female,2001,3,17,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, State - DELHI  07, State - ORISSA  21, State - PONDICHERRY  34, Tamil Nadu",,,,,,,,,,,,,,,,,,,,,,,,,,13.03,8.099,88.013,11.987,,,,,,,,,,
Muslim_female,2011,1,6,"Bihar, Haryana, Meghalaya, Mizoram, Nagaland, Rajasthan",,,,,,,,,,,,,,,,,,,,,,,,,,26.01,17.742,68.592,31.408,,,,,,,,,,
Muslim_female,2011,2,18,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, NCT of Delhi, Odisha, Puducherry, Tamil Nadu, Tripura",,,,,,,,,,,,,,,,,,,,,,,,,,19.12,4.647,94.707,5.293,,,,,,,,,,
Muslim_female,2011,3,11,"Arunachal Pradesh, Assam, Himachal Pradesh, Jammu & Kashmir, Jharkhand, Manipur, Punjab, Sikkim, Uttar Pradesh, Uttarakhand, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,21.17,8.594,81.991,18.009,,,,,,,,,,
Christian_female,2001,1,18,"Andaman & Nicobar Islands, Chandigarh, Chhattisgarh, Daman & Diu, Goa, Gujarat, Haryana, Himachal Pradesh, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, Mizoram, State - DELHI  07, State - PONDICHERRY  34, State - UTTARANCHAL  05, Tamil Nadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.347,94.061,42.532,95.566,5.939,4.434,,,
Christian_female,2001,2,3,"Arunachal Pradesh, Assam, Meghalaya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,25.166,71.058,26.38,75.967,28.942,24.033,,,
Christian_female,2001,3,14,"Andhra Pradesh, Bihar, Dadra & Nagar Haveli, Jammu & Kashmir, Jharkhand, Manipur, Nagaland, Punjab, Rajasthan, Sikkim, State - ORISSA  21, Tripura, Uttar Pradesh, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93,11.641,77.072,35.248,85.108,22.928,14.892,,,
Christian_female,2011,1,16,"Arunachal Pradesh, Assam, Bihar, Haryana, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Manipur, Meghalaya, Nagaland, Odisha, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49,8.124,87.444,38.759,90.198,12.556,9.802,,,
Christian_female,2011,2,18,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Himachal Pradesh, Karnataka, Kerala, Maharashtra, Mizoram, NCT of Delhi, Puducherry, Tamil Nadu, Tripura, Uttarakhand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,2.988,96.3,43.0,97.184,3.7,2.816,,,
Christian_female,2011,3,1,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,
Total_female,2001,1,18,"Chandigarh, Daman & Diu, Goa, Goa, Goa, Goa, Goa, Goa, Haryana, Himachal Pradesh, Maharashtra, Manipur, Mizoram, Punjab, Sikkim, State - DELHI  07, State - UTTARANCHAL  05, Tripura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01,90.226,9.774
Total_female,2001,2,11,"Andhra Pradesh, Arunachal Pradesh, Assam, Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Meghalaya, Nagaland, State - ORISSA  21, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31,75.892,24.108
Total_female,2001,3,6,"Bihar, Dadra & Nagar Haveli, Jammu & Kashmir, Jharkhand, Rajasthan, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29,59.85,40.15
Total_female,2011,1,16,"Andaman & Nicobar Islands, Chandigarh, Daman & Diu, Goa, Himachal Pradesh, Karnataka, Kerala, Lakshadweep, Maharashtra, Mizoram, NCT of Delhi, Puducherry, Sikkim, Tamil Nadu, Tripura, Uttarakhand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77,96.186,3.814
Total_female,2011,2,13,"Andhra Pradesh, Assam, Chhattisgarh, Dadra & Nagar Haveli, Gujarat, Haryana, Madhya Pradesh, Manipur, Meghalaya, Nagaland, Odisha, Punjab, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,89.696,10.304
Total_female,2011,3,6,"Arunachal Pradesh, Bihar, Jammu & Kashmir, Jharkhand, Rajasthan, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67,82.913,17.087
